event_id,asset_id,mitre_technique,severity,detected_at,source
evt-0000054,asset-0001,T1005,Low,2026-02-27T04:26:56,ids
evt-0000055,asset-0001,T1078,Low,2026-04-21T19:01:09,firewall
evt-0000056,asset-0001,T1087,Low,2026-03-25T08:56:36,proxy
evt-0000057,asset-0001,T1204,Low,2026-05-31T18:55:27,ids
evt-0000058,asset-0001,T1499,High,2026-03-02T12:10:59,auth
evt-0000059,asset-0001,T1490,High,2026-04-07T20:13:13,auth
evt-0000060,asset-0001,T1566,Medium,2025-12-19T12:53:58,ids
evt-0000061,asset-0001,T1003,Medium,2026-01-30T07:58:00,proxy
evt-0000062,asset-0001,T1204,,2025-11-25T18:08:10,auth
evt-0000063,asset-0001,T1046,Low,2026-01-26T13:58:58,proxy
evt-0000064,asset-0001,T1078,Low,2026-01-01T08:44:42,auth
evt-0000065,asset-0001,T1498,Medium,2026-01-12T21:25:26,endpoint
evt-0000066,asset-0001,T1078,Low,2026-02-12T11:46:04,auth
evt-0000067,asset-0001,T1005,Low,2025-11-25T14:54:06,auth
evt-0000068,asset-0001,T1046,Low,2025-11-12T11:41:58,auth
evt-0000069,asset-0001,T1552,Medium,2025-12-12T08:57:23,proxy
evt-0000070,asset-0001,T1566,Medium,2026-02-02T00:08:04,firewall
evt-0000071,asset-0001,T1210,Low,2025-12-04T21:24:48,auth
evt-0000072,asset-0001,T1499,High,2026-04-16T21:27:16,proxy
evt-0000073,asset-0001,T1190,Low,2025-11-03T23:41:58,firewall
evt-0000074,asset-0001,T1592,Low,2026-01-04T19:54:20,ids
evt-0000075,asset-0001,T1078,Low,2026-02-11T21:39:06,proxy
evt-0000076,asset-0001,T1041,High,2025-12-01T07:18:23,firewall
evt-0000077,asset-0001,T1078,Low,2026-04-21T11:59:12,ids
evt-0000078,asset-0001,T1087,Low,2026-02-02T22:36:49,endpoint
evt-0000079,asset-0001,T1005,Low,2026-02-13T09:27:00,firewall
evt-0000080,asset-0001,T1190,High,2026-05-02T07:17:27,endpoint
evt-0000081,asset-0001,T1592,Low,2026-04-21T21:12:43,firewall
evt-0000082,asset-0001,T1005,Low,2025-12-29T21:10:44,ids
evt-0000083,asset-0001,T1486,Critical,2025-11-11T23:49:38,proxy
evt-0000084,asset-0001,T1595,Low,2025-11-30T19:49:41,endpoint
evt-0000085,asset-0001,T1592,Low,2025-12-29T06:14:06,proxy
evt-0000086,asset-0001,T1003,Low,2026-02-12T11:51:50,proxy
evt-0000087,asset-0001,T1499,Critical,2026-04-22T08:04:35,firewall
evt-0000088,asset-0001,T1210,Medium,2026-03-05T01:49:09,proxy
evt-0000089,asset-0001,T1592,Low,2026-04-30T00:29:00,proxy
evt-0000090,asset-0001,T1595,Low,2025-12-23T15:17:39,ids
evt-0000091,asset-0001,T1087,Low,2025-11-25T22:01:12,endpoint
evt-0000092,asset-0001,T1110,Low,2025-11-28T02:21:45,firewall
evt-0000093,asset-0001,T1567,Critical,2025-12-06T20:18:19,firewall
evt-0000094,asset-0001,T1204,Medium,2026-01-30T14:37:23,firewall
evt-0000095,asset-0001,T1078,Low,2026-03-08T08:00:49,auth
evt-0000096,asset-0001,T1204,Medium,2026-02-11T07:17:23,endpoint
evt-0000097,asset-0001,T1552,Medium,2026-03-30T23:16:22,auth
evt-0000098,asset-0001,T1567,High,2026-05-10T17:34:43,endpoint
evt-0000099,asset-0001,T1190,High,2025-12-04T23:01:20,ids
evt-0000100,asset-0001,T1005,Low,2026-05-19T04:10:08,endpoint
evt-0000101,asset-0001,T1566,Medium,2025-11-21T23:59:12,firewall
evt-0000102,asset-0001,T1005,Low,2025-11-19T02:47:07,firewall
evt-0000103,asset-0001,T1592,Low,2025-11-03T09:03:44,endpoint
evt-0000104,asset-0001,T1190,High,2026-01-03T12:28:43,proxy
evt-0000105,asset-0001,T1204,Low,2026-01-30T07:48:36,auth
evt-0000106,asset-0001,T1046,Low,2026-05-16T06:05:50,firewall
evt-0000107,asset-0001,T1041,High,2025-12-16T03:50:18,ids
evt-0000108,asset-0001,T1210,High,2026-01-28T20:12:44,firewall
evt-0000109,asset-0001,T1078,Low,2025-12-24T13:11:20,proxy
evt-0000110,asset-0001,T1592,Medium,2026-03-31T22:32:04,
evt-0000111,asset-0001,T1078,Low,2025-12-12T06:34:37,proxy
evt-0000112,asset-0001,T1005,Low,2025-11-13T20:02:06,auth
evt-0000113,asset-0001,T1566,Medium,2025-12-15T16:08:56,firewall
evt-0000114,asset-0001,T1005,Low,2026-02-16T15:01:24,auth
evt-0000115,asset-0001,T1078,Low,2026-03-25T01:10:14,auth
evt-0000116,asset-0001,T1498,High,2026-04-20T14:11:19,endpoint
evt-0000117,asset-0001,T1078,Low,2025-12-27T00:20:27,firewall
evt-0000118,asset-0001,T1110,Medium,2025-11-16T06:01:58,auth
evt-0000119,asset-0001,T1210,Medium,2026-01-14T12:03:09,auth
evt-0000120,asset-0001,T1046,Medium,2026-04-10T23:36:50,endpoint
evt-0000121,asset-0001,T1041,High,2026-04-15T23:08:06,firewall
evt-0000122,asset-0001,T1005,Low,2026-02-20T09:49:01,proxy
evt-0000123,asset-0001,T1499,High,2026-03-11T15:56:45,ids
evt-0000124,asset-0001,T1592,Low,2026-03-11T23:52:34,ids
evt-0000125,asset-0001,T1486,High,2026-05-03T00:09:06,ids
evt-0000126,asset-0001,T1046,Low,2026-04-24T05:39:31,proxy
evt-0000127,asset-0001,T1210,Critical,2026-04-05T01:53:16,endpoint
evt-0000128,asset-0001,T1552,High,2026-02-19T06:51:02,ids
evt-0000129,asset-0001,T1204,Low,2026-01-28T09:57:12,endpoint
evt-0000130,asset-0001,T1110,Critical,2026-05-07T09:03:13,endpoint
evt-0000131,asset-0001,T1499,High,2026-02-18T03:14:47,proxy
evt-0000132,asset-0001,T1078,Low,2025-12-28T02:06:48,firewall
evt-0000133,asset-0001,T1087,Low,2026-04-06T17:26:44,firewall
evt-0000134,asset-0001,T1210,Medium,2026-03-04T04:18:49,
evt-0000135,asset-0001,T1087,Low,2026-01-15T17:49:12,firewall
evt-0000136,asset-0001,T1005,Low,2025-12-11T01:35:07,firewall
evt-0000137,asset-0001,T1046,Low,2026-05-24T06:25:00,endpoint
evt-0000138,asset-0001,T1566,Medium,2025-11-20T10:22:36,auth
evt-0000139,asset-0001,T1552,Low,2025-12-23T02:08:18,proxy
evt-0000140,asset-0001,T1110,Medium,2026-05-10T01:11:53,auth
evt-0000141,asset-0001,T1078,Low,2025-11-25T07:17:48,ids
evt-0000142,asset-0001,T1005,Low,2026-01-04T00:23:03,auth
evt-0000143,asset-0001,T1552,Medium,2025-12-24T07:22:35,ids
evt-0000144,asset-0001,T1498,Medium,2026-03-10T09:21:41,ids
evt-0000145,asset-0001,T1210,Medium,2026-04-10T10:29:53,proxy
evt-0000146,asset-0001,T1041,High,2026-02-24T17:51:58,proxy
evt-0000147,asset-0001,T1592,Low,2025-12-12T10:33:11,
evt-0000148,asset-0001,T1087,Low,2026-02-06T08:50:43,endpoint
evt-0000149,asset-0001,T1078,Low,2025-12-19T14:03:21,proxy
evt-0000150,asset-0001,T1490,Medium,2026-02-13T02:58:58,firewall
evt-0000151,asset-0001,T1204,,2025-12-11T23:39:29,auth
evt-0000152,asset-0001,T1592,Low,2025-12-26T00:33:21,auth
evt-0000153,asset-0001,T1552,High,2026-02-24T07:08:30,ids
evt-0000154,asset-0001,T1005,Low,2026-01-25T02:49:43,firewall
evt-0000155,asset-0001,T1204,Medium,2026-02-11T20:24:26,proxy
evt-0000156,asset-0001,T1498,Medium,2026-03-17T17:10:47,auth
evt-0000157,asset-0001,T1005,Low,2026-01-23T14:45:03,auth
evt-0000158,asset-0001,T1046,High,2026-04-26T20:09:41,proxy
evt-0000159,asset-0001,T1003,Medium,2026-01-05T02:24:04,endpoint
evt-0000160,asset-0001,T1005,Low,2026-02-09T04:50:57,auth
evt-0000161,asset-0001,T1087,Low,2026-02-04T13:08:32,auth
evt-0000162,asset-0001,T1567,High,2026-05-12T21:05:08,firewall
evt-0000163,asset-0001,T1005,Low,2026-01-31T04:29:50,auth
evt-0000164,asset-0001,T1210,High,2025-11-08T13:05:50,
evt-0000165,asset-0001,T1486,Critical,2026-02-11T07:55:01,ids
evt-0000166,asset-0001,T1567,Critical,2026-04-20T17:41:16,proxy
evt-0000167,asset-0001,T1566,Medium,2026-01-27T16:04:07,ids
evt-0000168,asset-0001,T1020,Critical,2026-02-15T06:51:55,proxy
evt-0000169,asset-0001,T1486,Critical,2025-12-23T06:45:46,endpoint
evt-0000170,asset-0001,T1078,Low,2026-02-05T08:18:42,ids
evt-0000171,asset-0001,T1486,Medium,2025-11-28T09:04:32,auth
evt-0000172,asset-0001,T1499,Critical,2025-12-23T05:35:00,auth
evt-0000173,asset-0001,T1592,Low,2026-01-21T09:58:51,
evt-0000174,asset-0001,T1489,High,2025-12-27T17:15:23,proxy
evt-0000175,asset-0001,T1567,Medium,2025-11-09T00:31:58,auth
evt-0000176,asset-0001,T1078,Low,2026-01-06T20:53:54,proxy
evt-0000177,asset-0001,T1499,Critical,2026-04-26T20:17:28,proxy
evt-0000178,asset-0001,T1041,High,2026-03-21T10:33:04,firewall
evt-0000179,asset-0001,T1592,Medium,2026-04-09T14:24:22,
evt-0000180,asset-0001,T1489,High,2026-03-20T11:58:49,ids
evt-0000181,asset-0001,T1003,Low,2025-12-25T22:03:05,proxy
evt-0000182,asset-0001,T1592,Low,2026-03-04T03:45:38,firewall
evt-0000183,asset-0001,T1498,Medium,2026-01-19T10:57:52,proxy
evt-0000184,asset-0001,T1592,Low,2025-11-01T04:36:42,auth
evt-0000185,asset-0001,T1595,Low,2026-05-29T01:45:35,ids
evt-0000186,asset-0001,T1046,Low,2026-02-12T08:25:59,
evt-0000187,asset-0001,T1020,Medium,2026-02-18T00:45:48,firewall
evt-0000188,asset-0001,T1204,Medium,2026-02-13T03:01:57,proxy
evt-0000189,asset-0001,T1020,Critical,2025-12-28T22:39:29,endpoint
evt-0000190,asset-0001,T1595,Low,2026-02-07T23:57:01,firewall
evt-0000191,asset-0001,T1078,Low,2026-03-05T20:29:34,auth
evt-0000192,asset-0001,T1486,Critical,2026-01-28T15:29:19,firewall
evt-0000193,asset-0001,T1595,Low,2025-12-01T00:37:42,ids
evt-0000194,asset-0001,T1046,Medium,2026-05-08T13:02:58,firewall
evt-0000195,asset-0001,T1486,High,2026-04-03T17:22:53,auth
evt-0000196,asset-0001,T1046,Medium,2026-03-24T13:10:22,auth
evt-0000197,asset-0001,T1020,Medium,2026-01-29T07:45:51,firewall
evt-0000198,asset-0001,T1087,Low,2026-03-22T10:08:08,auth
evt-0000199,asset-0001,T1087,Low,2026-01-23T11:02:07,ids
evt-0000200,asset-0001,T1204,Low,2026-01-19T19:45:34,proxy
evt-0000201,asset-0001,T1592,Low,2026-05-08T23:45:17,ids
evt-0000202,asset-0001,T1592,Low,2026-01-18T23:28:21,firewall
evt-0000203,asset-0001,T1552,High,2026-05-13T19:38:36,endpoint
evt-0000204,asset-0001,T1498,,2025-11-16T12:25:00,proxy
evt-0000205,asset-0001,T1499,High,2026-02-26T02:31:11,ids
evt-0000206,asset-0001,T1498,High,2026-05-12T08:31:41,endpoint
evt-0000207,asset-0001,T1110,Medium,2026-02-28T20:57:26,firewall
evt-0000208,asset-0001,T1087,Low,2026-02-16T10:49:44,auth
evt-0000209,asset-0001,T1592,Medium,2026-04-30T03:15:41,auth
evt-0000210,asset-0001,T1087,Low,2026-01-05T15:31:52,endpoint
evt-0000211,asset-0001,T1499,Critical,2025-11-26T10:31:11,ids
evt-0000212,asset-0001,T1041,High,2026-02-28T08:41:34,
evt-0000213,asset-0001,T1020,High,2025-11-08T02:15:42,ids
evt-0000214,asset-0001,T1595,Low,2025-12-05T19:38:41,
evt-0000215,asset-0001,T1486,Critical,2026-01-29T01:08:24,auth
evt-0000216,asset-0001,T1592,Medium,2026-04-07T08:04:21,auth
evt-0000217,asset-0001,T1078,Medium,2025-12-08T12:36:06,proxy
evt-0000218,asset-0001,T1005,Low,2026-05-13T05:33:05,auth
evt-0000219,asset-0001,T1078,Low,2025-11-07T17:37:42,endpoint
evt-0000220,asset-0001,T1078,Low,2026-03-02T09:53:45,endpoint
evt-0000221,asset-0001,T1499,High,2025-12-29T04:04:02,firewall
evt-0000222,asset-0001,T1552,Medium,2025-11-23T22:52:15,endpoint
evt-0000223,asset-0001,T1210,High,2026-03-16T16:06:00,firewall
evt-0000224,asset-0001,T1020,High,2026-02-08T01:35:38,auth
evt-0000225,asset-0001,T1005,Low,2025-11-03T17:28:38,firewall
evt-0000226,asset-0001,T1592,Low,2025-12-16T16:16:12,ids
evt-0000227,asset-0001,T1204,Medium,2025-12-16T10:14:50,firewall
evt-0000228,asset-0001,T1005,Low,2026-04-23T22:22:58,firewall
evt-0000229,asset-0001,T1499,High,2025-11-29T16:22:55,endpoint
evt-0000230,asset-0001,T1595,Low,2026-04-10T02:08:00,ids
evt-0000231,asset-0001,T1595,Low,2025-12-21T01:11:19,endpoint
evt-0000232,asset-0001,T1046,Medium,2026-03-20T22:14:57,firewall
evt-0000233,asset-0001,T1078,Medium,2026-04-26T23:09:53,endpoint
evt-0000234,asset-0001,T1567,High,2026-04-29T18:34:46,endpoint
evt-0000235,,T1087,Low,2026-03-14T23:49:00,ids
evt-0000236,asset-0001,T1005,Low,2025-11-14T03:06:06,ids
evt-0000237,asset-0001,T1595,Low,2026-03-06T02:11:46,proxy
evt-0000238,asset-0001,T1210,Medium,2026-04-23T22:44:48,ids
evt-0000239,asset-0001,T1005,Low,2026-02-04T18:08:56,proxy
evt-0000240,asset-0001,T1041,Medium,2026-05-31T05:35:41,endpoint
evt-0000241,asset-0001,T1005,Low,2025-11-17T02:50:44,endpoint
evt-0000242,asset-0001,T1078,Low,2026-04-16T16:20:56,endpoint
evt-0000243,asset-0001,T1592,Low,2026-01-27T04:20:50,ids
evt-0000244,asset-0001,T1046,Low,2026-04-03T03:37:55,proxy
evt-0000245,asset-0001,T1595,Low,2026-01-02T22:38:07,firewall
evt-0000246,asset-0001,T1020,Critical,2026-05-05T14:21:41,auth
evt-0000247,asset-0001,T1005,Low,2025-11-06T01:12:39,endpoint
evt-0000248,asset-0001,T1566,Low,2025-12-04T14:42:43,auth
evt-0000249,asset-0001,T1595,Low,2026-04-21T06:31:14,firewall
evt-0000250,asset-0001,T1498,Critical,2026-05-19T02:46:29,endpoint
evt-0000251,asset-0001,T1020,High,2026-05-02T17:02:58,endpoint
evt-0000252,asset-0001,T1490,Critical,2025-11-05T00:14:23,endpoint
evt-0000253,asset-0001,T1003,Medium,2026-05-05T19:47:19,endpoint
evt-0000254,asset-0001,T1087,Low,2026-03-04T09:44:33,endpoint
evt-0000255,asset-0001,T1005,Low,2026-02-04T06:12:38,auth
evt-0000256,asset-0001,T1566,Medium,2026-01-10T17:48:45,
evt-0000257,asset-0001,T1499,High,2026-01-24T22:56:32,proxy
evt-0000258,asset-0001,T1490,High,2026-03-26T19:40:35,proxy
evt-0000259,asset-0001,T1595,Low,2025-11-21T01:34:33,auth
evt-0000260,asset-0001,T1486,Critical,2025-12-18T23:25:55,ids
evt-0000261,asset-0001,T1552,Medium,2026-04-26T12:19:18,endpoint
evt-0000262,asset-0001,T1087,Low,2026-03-25T00:40:34,endpoint
evt-0000263,asset-0001,T1489,Critical,2025-12-17T23:39:22,auth
evt-0000264,asset-0001,T1566,Medium,2026-03-13T11:23:45,ids
evt-0000265,asset-0001,T1498,Medium,2026-01-12T18:48:24,endpoint
evt-0000266,asset-0001,T1087,Low,2026-01-21T07:06:43,firewall
evt-0000267,asset-0001,T1020,High,2026-03-21T21:23:48,proxy
evt-0000268,asset-0001,T1552,Critical,2025-11-24T09:39:29,auth
evt-0000269,asset-0001,T1078,Low,2025-12-21T23:05:13,ids
evt-0000270,asset-0001,T1087,Low,2026-05-05T02:00:37,auth
evt-0000271,asset-0001,T1567,High,2026-03-07T09:21:48,ids
evt-0000272,asset-0001,T1005,Low,2026-03-14T07:48:11,firewall
evt-0000273,asset-0001,T1110,Medium,2026-03-28T11:21:17,
evt-0000274,asset-0001,T1005,Low,2026-03-17T22:22:21,firewall
evt-0000275,asset-0001,T1046,Low,2026-01-01T09:02:19,endpoint
evt-0000276,asset-0001,T1210,Medium,2026-01-17T05:19:49,auth
evt-0000277,asset-0001,T1595,Low,2026-01-28T20:41:45,endpoint
evt-0000278,asset-0001,T1204,High,2025-12-26T20:16:19,firewall
evt-0000279,asset-0001,T1041,Critical,2025-12-02T03:08:35,proxy
evt-0000280,asset-0001,T1110,High,2026-04-30T10:56:21,auth
evt-0000281,asset-0001,T1498,High,2026-05-12T11:54:35,endpoint
evt-0000282,asset-0001,T1005,Low,2026-04-01T19:56:44,
evt-0000283,asset-0001,T1005,Low,2025-11-11T01:33:46,proxy
evt-0000284,asset-0001,T1566,Low,2026-04-16T19:41:16,endpoint
evt-0000285,asset-0001,T1499,Medium,2026-04-12T19:03:10,firewall
evt-0000286,asset-0001,T1078,Low,2026-03-25T08:58:13,proxy
evt-0000287,asset-0001,T1204,High,2026-02-11T18:26:33,firewall
evt-0000288,asset-0001,T1110,High,2025-11-18T01:43:48,firewall
evt-0000289,asset-0001,T1087,Low,2026-03-20T23:28:21,ids
evt-0000290,asset-0001,T1078,Low,2026-04-03T08:03:57,proxy
evt-0000291,asset-0001,T1498,Low,2025-11-24T20:33:43,proxy
evt-0000292,asset-0001,T1087,Low,2026-05-26T02:16:52,endpoint
evt-0000293,asset-0001,T1005,Low,2026-04-14T07:21:25,auth
evt-0000294,asset-0001,T1499,High,2025-12-28T06:11:47,endpoint
evt-0000295,asset-0001,T1490,High,2026-01-02T05:54:54,firewall
evt-0000296,asset-0001,T1087,Low,2025-11-21T16:51:15,firewall
evt-0000297,asset-0001,T1204,High,2025-11-05T15:52:45,proxy
evt-0000298,asset-0001,T1087,Low,2026-05-18T16:17:46,ids
evt-0000299,asset-0001,T1087,Low,2025-12-09T21:01:50,ids
evt-0000300,asset-0001,T1005,,2026-01-14T23:37:57,ids
evt-0000301,asset-0001,T1498,High,2026-05-21T13:33:54,auth
evt-0000302,asset-0001,T1592,Low,2025-12-23T16:04:48,endpoint
evt-0000303,asset-0001,T1005,Low,2026-01-03T11:20:19,ids
evt-0000304,asset-0001,T1498,Medium,2026-03-10T18:33:35,ids
evt-0000305,asset-0001,T1595,Low,2026-04-02T22:48:20,firewall
evt-0000306,asset-0001,T1498,High,2026-05-31T08:39:07,ids
evt-0000307,asset-0001,T1489,Critical,2025-12-17T06:45:01,firewall
evt-0000308,asset-0001,T1046,Medium,2025-12-27T14:02:43,ids
evt-0000309,asset-0001,T1498,High,2025-12-27T12:56:34,
evt-0000310,asset-0001,T1087,Low,2026-05-03T22:40:52,ids
evt-0000311,asset-0001,T1005,Low,2026-05-03T18:14:15,auth
evt-0000312,asset-0001,T1020,Critical,2025-11-25T17:35:14,ids
evt-0000313,asset-0001,T1087,Low,2026-04-27T06:09:43,firewall
evt-0000314,asset-0001,T1078,Low,2026-05-17T12:59:51,ids
evt-0000315,asset-0001,T1490,High,2025-12-24T12:24:23,auth
evt-0000316,asset-0001,T1005,Low,2026-02-20T02:38:21,endpoint
evt-0000317,asset-0001,T1020,High,2026-03-13T08:38:01,firewall
evt-0000318,asset-0001,T1190,Medium,2026-02-26T15:36:00,proxy
evt-0000319,asset-0001,T1005,Low,2026-04-06T18:36:38,endpoint
evt-0000320,asset-0001,T1087,Low,2025-12-19T20:50:21,auth
evt-0000321,asset-0001,T1499,Medium,2026-03-18T15:36:49,ids
evt-0000322,asset-0001,T1078,Low,2026-05-28T13:26:42,firewall
evt-0000323,asset-0001,T1003,High,2026-03-27T09:20:30,ids
evt-0000324,asset-0001,T1190,Medium,2026-05-14T04:59:47,firewall
evt-0000325,asset-0001,T1020,Medium,2026-03-04T04:35:02,proxy
evt-0000326,asset-0001,T1087,Low,2026-02-01T02:45:55,ids
evt-0000327,asset-0001,T1210,High,2026-03-08T14:21:46,proxy
evt-0000328,asset-0001,T1567,Critical,2025-11-07T06:46:35,auth
evt-0000329,asset-0001,T1595,Low,2026-03-10T17:17:36,endpoint
evt-0000330,asset-0001,T1499,Medium,2026-04-13T03:39:24,auth
evt-0000331,asset-0001,T1005,Low,2026-03-15T15:01:05,proxy
evt-0000332,asset-0001,T1499,High,2025-12-21T23:41:17,endpoint
evt-0000333,asset-0001,T1020,Critical,2026-03-25T14:52:17,proxy
evt-0000334,asset-0001,T1087,Low,2026-04-19T18:13:16,firewall
evt-0000335,asset-0001,T1499,High,2026-01-01T15:27:15,endpoint
evt-0000336,asset-0001,T1046,Low,2026-04-29T01:59:29,proxy
evt-0000337,asset-0001,T1003,Medium,2026-03-26T09:56:49,endpoint
evt-0000338,asset-0001,T1190,Medium,2026-05-17T10:37:18,ids
evt-0000339,asset-0001,T1005,Low,2026-01-02T01:33:03,firewall
evt-0000340,asset-0001,T1046,Low,2026-05-08T11:52:54,ids
evt-0000341,asset-0001,T1595,Low,2026-01-07T09:55:20,firewall
evt-0000342,asset-0001,T1566,Medium,2026-03-18T05:37:42,auth
evt-0000343,asset-0001,T1046,Low,2026-03-29T20:58:38,auth
evt-0000344,asset-0001,T1204,Low,2026-01-19T22:45:09,firewall
evt-0000345,asset-0001,T1204,High,2026-02-13T02:20:08,endpoint
evt-0000346,asset-0001,T1499,Medium,2026-01-25T14:06:02,endpoint
evt-0000347,asset-0001,T1190,Medium,2026-04-24T15:00:07,endpoint
evt-0000348,asset-0001,T1489,High,2026-05-04T09:02:42,proxy
evt-0000349,asset-0001,T1003,High,2025-12-04T15:53:15,ids
evt-0000350,asset-0001,T1087,Low,2026-03-17T13:07:42,auth
evt-0000351,asset-0001,T1087,Low,2025-11-25T12:43:39,proxy
evt-0000352,asset-0001,T1490,High,2026-02-16T12:23:12,ids
evt-0000353,asset-0001,T1566,Medium,2026-01-30T07:57:22,firewall
evt-0000354,asset-0001,T1486,Medium,2026-03-16T13:44:58,
evt-0000355,asset-0001,T1041,High,2025-12-01T15:29:36,ids
evt-0000356,asset-0001,T1005,Low,2026-05-07T16:51:53,proxy
evt-0000357,asset-0001,T1210,Medium,2026-04-15T00:17:50,proxy
evt-0000358,asset-0001,T1078,Low,2025-11-03T01:54:20,
evt-0000359,asset-0001,T1020,High,2026-01-13T06:20:11,proxy
evt-0000360,asset-0001,T1595,Low,2026-01-26T23:36:59,firewall
evt-0000361,asset-0001,T1005,Low,2026-04-04T19:37:15,firewall
evt-0000362,asset-0001,T1078,Low,2025-12-11T09:21:08,auth
evt-0000363,asset-0001,T1498,Medium,2026-05-23T13:30:50,firewall
evt-0000364,asset-0001,T1087,Low,2025-12-22T03:42:56,
evt-0000365,asset-0001,T1592,Low,2026-02-15T19:10:05,ids
evt-0000366,asset-0001,T1592,Medium,2026-02-05T00:12:47,auth
evt-0000367,asset-0001,T1005,Low,2026-05-01T12:12:28,
evt-0000368,asset-0001,T1566,Medium,2026-01-01T18:14:22,endpoint
evt-0000369,asset-0001,T1592,Low,2026-04-16T16:48:55,ids
evt-0000370,asset-0001,T1005,Low,2026-04-14T16:24:00,
evt-0000371,asset-0001,T1592,Low,2025-11-30T16:52:56,proxy
evt-0000372,asset-0001,T1005,Low,2026-04-22T20:07:48,proxy
evt-0000373,asset-0001,T1005,Low,2025-11-26T03:45:35,ids
evt-0000374,asset-0001,T1566,Medium,2025-12-09T16:49:12,auth
evt-0000375,asset-0001,T1499,Medium,2026-02-14T12:18:00,auth
evt-0000376,asset-0001,T1566,High,2025-11-05T04:56:59,endpoint
evt-0000377,asset-0001,T1087,Low,2026-04-19T21:04:53,ids
evt-0000378,asset-0001,T1566,Medium,2026-04-01T15:36:32,auth
evt-0000379,asset-0001,T1087,Low,2025-12-05T18:39:57,ids
