incident_id,company_id,date,sector,company_size,employees,attack_type,severity,security_maturity_score,records_exposed,downtime_hours,financial_loss_eur
inc-000067,ORG-0055,2024-12-24,Retail,PME,47,data_breach,minor,33,162,4.3,31321
inc-000068,ORG-0056,2024-04-09,Public,ETI,648,misconfiguration,minor,53,7,2.9,22348
inc-000069,ORG-0057,2023-05-15,Finance,PME,103,phishing,minor,66,10,,5685
inc-000070,ORG-0058,2024-10-21,Tech/SaaS,GE,11076,ransomware,major,73,155,45.0,388932
inc-000071,ORG-0059,2025-09-27,Tech/SaaS,PME,15,phishing,minor,52,32,6.1,24734
inc-000072,ORG-0060,2022-10-12,Énergie,PME,172,misconfiguration,minor,44,23,1.3,16493
inc-000073,ORG-0061,2023-12-28,Industrie,PME,191,phishing,minor,43,4,1.3,3709
inc-000074,ORG-0062,2024-05-18,Retail,PME,69,credential_theft,minor,31,28,2.9,23420
inc-000075,ORG-0063,2025-11-09,Industrie,ETI,1606,ransomware,severe,47,799,31.1,2835179
inc-000076,ORG-0017,2024-06-19,Tech/SaaS,PME,22,data_breach,minor,43,112,4.9,26880
inc-000077,ORG-0064,2023-11-25,Santé,GE,5580,phishing,moderate,55,50,1.4,54244
inc-000078,ORG-0065,2024-03-18,Santé,PME,10,supply_chain,minor,40,30,74.1,7540
inc-000079,ORG-0066,2024-12-21,Énergie,PME,18,data_breach,minor,50,20,13.4,5293
inc-000080,ORG-0066,2025-03-10,Énergie,PME,18,ddos,minor,50,0,12.6,46260
inc-000081,ORG-0067,2024-12-02,Public,PME,54,data_breach,major,42,2728,6.6,422475
inc-000082,ORG-0009,2024-11-30,Santé,PME,12,insider_error,minor,49,5,2.9,6672
inc-000083,ORG-0068,2023-11-28,Santé,ETI,2579,ddos,minor,50,0,9.9,39143
inc-000084,ORG-0068,2024-11-23,Santé,ETI,2579,credential_theft,severe,50,,11.6,1421220
inc-000085,ORG-0069,2025-01-14,Retail,GE,45973,credential_theft,catastrophic,50,11312,7.0,6392346
inc-000086,ORG-0070,2025-03-02,Finance,GE,21805,phishing,moderate,89,84,2.6,119811
inc-000087,ORG-0071,2025-08-30,Tech/SaaS,ETI,1338,ddos,major,36,0,12.5,529102
inc-000088,ORG-0072,2024-10-24,Finance,PME,39,misconfiguration,minor,53,33,3.1,26993
inc-000089,ORG-0073,2024-02-22,Santé,GE,5642,phishing,minor,67,27,3.7,44695
inc-000090,ORG-0074,2023-10-26,Tech/SaaS,PME,57,credential_theft,minor,43,8,11.5,2843
inc-000091,ORG-0075,2023-07-04,Retail,PME,227,data_breach,minor,47,66,14.8,23751
inc-000092,ORG-0076,2025-10-08,Énergie,ETI,2629,phishing,moderate,68,87,2.3,89456
inc-000093,ORG-0077,2022-07-14,Industrie,ETI,554,supply_chain,major,49,1319,55.1,639582
inc-000094,ORG-0078,2023-01-08,Santé,PME,58,data_breach,minor,55,51,9.3,9092
inc-000095,ORG-0079,2024-12-31,Public,PME,24,ransomware,minor,37,5,25.9,12085
inc-000096,ORG-0080,2024-09-01,Industrie,PME,30,credential_theft,minor,37,135,5.6,44105
inc-000097,ORG-0055,2023-09-17,Retail,PME,47,ransomware,minor,33,4,43.0,8552
inc-000098,ORG-0081,2023-04-22,Retail,PME,22,ransomware,minor,24,10,48.3,28418
inc-000099,ORG-0008,2022-08-11,Énergie,GE,6414,phishing,major,52,498,1.8,557667
inc-000100,ORG-0082,2025-09-29,Énergie,PME,220,supply_chain,minor,42,43,31.6,15041
inc-000101,ORG-0051,2022-11-04,Finance,ETI,754,insider_error,minor,60,26,9.8,25074
inc-000102,ORG-0083,2022-01-01,Finance,ETI,1160,data_breach,major,84,1562,14.1,378696
inc-000103,ORG-0084,2022-09-15,Finance,ETI,2073,supply_chain,catastrophic,84,25077,23.1,6128071
inc-000104,ORG-0085,2024-03-28,Public,PME,20,ransomware,minor,43,,20.3,5543
inc-000105,ORG-0086,2025-07-03,Public,ETI,583,credential_theft,major,43,662,17.8,335937
inc-000106,ORG-0087,2025-01-09,Public,PME,10,phishing,minor,44,26,2.5,21058
inc-000107,ORG-0088,2023-08-10,Énergie,PME,39,phishing,minor,38,6,3.9,10635
inc-000108,ORG-0089,2024-04-26,Finance,GE,72658,credential_theft,minor,70,39,8.6,24704
inc-000109,ORG-0090,2025-12-10,Santé,GE,30596,credential_theft,major,66,1387,9.6,862921
inc-000110,ORG-0091,2022-01-09,Tech/SaaS,PME,132,phishing,minor,34,4,7.9,5918
inc-000111,ORG-0092,2022-06-24,Tech/SaaS,ETI,1955,misconfiguration,moderate,60,43,4.0,98889
inc-000112,ORG-0093,2023-06-22,Tech/SaaS,GE,24415,insider_error,minor,56,70,2.2,48397
inc-000113,ORG-0094,2022-02-27,Retail,ETI,1767,credential_theft,moderate,42,102,6.0,73688
inc-000114,ORG-0095,2024-09-04,Énergie,PME,57,phishing,minor,41,12,2.4,11768
inc-000115,ORG-0096,2022-01-14,Énergie,ETI,2216,phishing,minor,56,24,3.1,21772
inc-000116,ORG-0097,2023-01-08,Retail,PME,11,credential_theft,minor,57,14,2.0,8896
inc-000117,ORG-0098,2023-11-03,Énergie,PME,81,supply_chain,minor,55,12,135.0,8580
inc-000118,ORG-0099,2024-04-17,Industrie,ETI,322,data_breach,minor,32,101,3.3,27994
inc-000119,ORG-0100,2024-09-03,Industrie,PME,180,data_breach,severe,42,4344,4.2,1280294
inc-000120,ORG-0101,2025-11-03,Santé,PME,10,supply_chain,minor,33,24,56.6,6127
inc-000121,ORG-0050,2023-06-19,Industrie,PME,164,misconfiguration,minor,29,7,7.4,7601
inc-000122,ORG-0102,2023-05-28,Industrie,ETI,266,phishing,minor,31,40,4.1,31690
inc-000123,ORG-0103,2022-08-28,Tech/SaaS,PME,20,phishing,minor,27,25,3.3,32256
inc-000124,ORG-0104,2022-04-03,Tech/SaaS,PME,53,ransomware,moderate,34,,30.8,270887
inc-000125,ORG-0105,2025-03-22,Énergie,PME,37,insider_error,minor,42,11,2.4,17346
inc-000126,ORG-0106,2025-09-03,Santé,ETI,1298,ransomware,major,41,134,35.7,533027
inc-000127,ORG-0107,2023-11-03,Retail,ETI,3623,ransomware,severe,53,1624,65.5,2746571
inc-000128,ORG-0108,2024-06-23,Tech/SaaS,PME,54,phishing,moderate,39,53,9.0,67460
inc-000129,ORG-0109,2022-11-03,Finance,PME,20,data_breach,minor,45,26,4.5,7151
inc-000130,ORG-0110,2022-12-28,Tech/SaaS,ETI,802,phishing,moderate,47,81,7.7,98760
inc-000131,ORG-0111,2023-09-06,Tech/SaaS,ETI,660,phishing,moderate,46,86,7.3,50307
inc-000132,ORG-0112,2022-04-04,Énergie,ETI,1027,data_breach,catastrophic,59,23696,10.6,7784648
inc-000133,ORG-0113,2023-10-05,Tech/SaaS,ETI,2792,phishing,moderate,35,76,11.1,96595
inc-000134,ORG-0114,2024-12-20,Énergie,PME,10,credential_theft,minor,64,46,4.1,29820
inc-000135,ORG-0115,2022-02-13,Tech/SaaS,GE,5493,ransomware,major,51,125,128.1,563735
inc-000136,ORG-0116,2023-02-24,Industrie,ETI,573,data_breach,catastrophic,42,20104,,4155927
inc-000137,ORG-0081,2025-12-24,Retail,PME,22,data_breach,major,24,2888,6.6,703854
inc-000138,ORG-0117,2025-11-25,Énergie,ETI,1333,ddos,moderate,53,0,16.2,73412
inc-000139,ORG-0118,2024-09-22,Santé,ETI,1113,phishing,moderate,54,93,12.3,144535
inc-000140,ORG-0119,2024-05-08,Santé,PME,245,ransomware,major,45,99,59.8,375623
inc-000141,ORG-0111,2025-08-08,Tech/SaaS,ETI,660,insider_error,minor,46,16,8.0,16112
inc-000142,ORG-0010,2025-01-03,Public,PME,31,phishing,minor,40,14,1.0,10481
inc-000143,ORG-0120,2024-10-24,Tech/SaaS,PME,31,ransomware,minor,40,6,,18698
inc-000144,ORG-0121,2023-11-16,Santé,PME,63,insider_error,minor,44,59,1.7,47853
inc-000145,ORG-0122,2025-01-01,Santé,GE,23745,ransomware,major,55,175,68.3,336864
inc-000146,ORG-0086,2025-12-12,Public,ETI,583,credential_theft,minor,43,12,-5.0,9195
inc-000147,ORG-0123,2025-11-06,Finance,PME,154,misconfiguration,moderate,63,166,1.9,138794
inc-000148,ORG-0124,2025-01-24,Finance,PME,14,phishing,minor,52,14,4.6,28267
inc-000149,ORG-0125,2022-10-14,Finance,ETI,1832,data_breach,moderate,61,949,9.4,144433
inc-000150,ORG-0126,2025-03-08,Finance,PME,48,data_breach,severe,33,3138,9.0,1741166
inc-000151,ORG-0127,2023-03-06,Retail,GE,22293,ransomware,major,51,346,53.2,836941
inc-000152,ORG-0068,2022-04-27,Santé,ETI,2579,data_breach,moderate,50,740,8.5,216771
inc-000153,ORG-0128,2022-09-02,Tech/SaaS,PME,109,supply_chain,moderate,30,169,24.5,66874
inc-000154,ORG-0129,2025-03-29,Public,ETI,2986,insider_error,moderate,50,64,3.2,65881
inc-000155,ORG-0130,2023-09-28,Finance,PME,100,data_breach,moderate,40,1258,8.8,262510
inc-000156,ORG-0131,2025-04-09,Retail,ETI,3823,phishing,minor,44,49,1.7,44669
inc-000157,ORG-0132,2024-01-25,Public,ETI,758,credential_theft,severe,51,3957,2.4,2306910
inc-000158,ORG-0124,2025-09-21,Finance,PME,14,phishing,minor,52,4,2.6,10348
inc-000159,ORG-0133,2025-12-28,Finance,PME,50,insider_error,minor,57,25,4.7,29446
inc-000160,ORG-0134,2023-03-09,Industrie,PME,88,credential_theft,minor,46,8,8.8,4966
inc-000161,ORG-0135,2022-01-12,Public,ETI,2249,ransomware,catastrophic,57,5436,28.1,11317015
inc-000162,ORG-0136,2022-10-25,Énergie,PME,178,ransomware,moderate,52,32,80.0,86938
inc-000163,ORG-0074,2024-04-29,Tech/SaaS,PME,57,phishing,minor,43,14,5.4,13140
inc-000164,ORG-0137,2023-01-22,Santé,ETI,337,credential_theft,severe,55,1605,9.7,1632736
inc-000165,ORG-0138,2025-02-19,Énergie,ETI,329,ransomware,severe,52,678,38.5,1732644
inc-000166,ORG-0139,2023-06-09,Retail,ETI,2657,supply_chain,major,40,2109,103.0,668495
inc-000167,ORG-0140,2025-08-04,Finance,PME,214,misconfiguration,minor,45,5,3.9,4557
inc-000168,ORG-0141,2023-08-27,Santé,ETI,663,ddos,severe,45,0,5.9,1488950
inc-000169,ORG-0142,2024-05-17,Énergie,PME,144,ransomware,minor,47,6,252.7,8324
inc-000170,ORG-0143,2024-11-01,Santé,GE,16493,phishing,moderate,70,169,14.1,121717
inc-000171,ORG-0144,2023-07-20,Industrie,ETI,290,credential_theft,severe,46,4779,6.1,2753888
inc-000172,ORG-0145,2023-09-06,Retail,ETI,4560,data_breach,catastrophic,56,37939,4.5,5830161
inc-000173,ORG-0131,2022-07-22,Retail,ETI,3823,ddos,moderate,44,0,7.8,77220
inc-000174,ORG-0043,2025-01-11,Industrie,PME,20,insider_error,minor,39,11,1.3,13639
inc-000175,ORG-0146,2022-07-12,Retail,PME,171,data_breach,moderate,41,210,7.3,67734
inc-000176,ORG-0147,2024-09-23,Santé,ETI,547,data_breach,severe,67,8490,21.2,2273240
inc-000177,ORG-0148,2025-10-30,Retail,PME,114,misconfiguration,minor,28,38,3.8,48157
inc-000178,ORG-0149,2022-07-21,Énergie,ETI,596,ddos,severe,50,0,10.4,1446924
inc-000179,ORG-0095,2024-05-20,Énergie,PME,57,ddos,minor,41,0,7.8,43235
inc-000180,ORG-0146,2025-05-26,Retail,PME,171,credential_theft,moderate,41,116,5.3,62301
inc-000181,ORG-0150,2023-01-02,Retail,PME,63,phishing,minor,41,48,1.6,44806
inc-000182,ORG-0151,2023-09-03,Tech/SaaS,ETI,418,insider_error,minor,52,26,2.8,21357
inc-000183,ORG-0152,2024-06-20,Finance,ETI,2813,ransomware,moderate,56,29,42.1,77053
inc-000184,ORG-0030,2025-10-25,Industrie,PME,53,ddos,minor,52,0,12.7,15846
inc-000185,ORG-0153,2025-07-11,Tech/SaaS,ETI,264,misconfiguration,minor,52,22,3.5,26839
inc-000186,ORG-0117,2025-08-17,Énergie,ETI,1333,insider_error,minor,53,11,6.0,19161
inc-000187,ORG-0091,2023-06-25,Tech/SaaS,PME,132,insider_error,minor,34,26,2.0,27468
inc-000188,ORG-0154,2025-09-09,Finance,GE,16987,phishing,minor,80,46,2.9,48089
inc-000189,ORG-0155,2024-08-21,Énergie,ETI,724,credential_theft,minor,46,,,28231
inc-000190,ORG-0156,2024-06-15,Industrie,ETI,4113,insider_error,major,26,520,2.8,343926
inc-000191,ORG-0157,2022-01-13,Retail,PME,18,credential_theft,moderate,19,112,5.0,88954
inc-000192,ORG-0158,2023-02-11,Énergie,ETI,1943,misconfiguration,major,50,243,11.2,581500
inc-000193,ORG-0144,2023-06-26,Industrie,ETI,290,data_breach,major,46,3475,13.7,666533
inc-000194,ORG-0159,2025-01-21,Ã‰nergie,PME,87,phishing,minor,55,5,7.2,6054
inc-000195,ORG-0160,2022-11-07,Tech/SaaS,ETI,318,insider_error,minor,50,58,3.5,18287
inc-000196,ORG-0161,2024-04-04,Tech/SaaS,PME,53,ransomware,moderate,52,66,43.0,79190
inc-000197,ORG-0138,2024-09-02,Énergie,ETI,329,phishing,moderate,52,74,3.7,91540
inc-000198,ORG-0162,2025-08-06,Finance,PME,17,ransomware,major,27,310,67.8,553112
inc-000199,ORG-0163,2022-10-17,Public,PME,14,ddos,minor,41,0,13.3,4479
inc-000200,ORG-0164,2023-11-09,Énergie,PME,215,ransomware,minor,46,11,17.0,24151
inc-000201,ORG-0165,2023-02-25,Énergie,GE,7712,misconfiguration,moderate,81,116,,197959
inc-000202,ORG-0166,2023-04-02,Retail,ETI,582,ddos,minor,60,,10.3,28798
inc-000203,ORG-0130,2023-08-18,Finance,PME,100,phishing,minor,40,18,0.9,25957
inc-000204,ORG-0167,2024-04-04,Retail,GE,78884,misconfiguration,minor,44,21,17.7,25065
inc-000205,ORG-0168,2024-11-26,Public,PME,136,ransomware,minor,52,4,61.8,11636
inc-000206,ORG-0169,2024-05-17,Finance,ETI,347,ransomware,minor,48,16,44.7,37681
inc-000207,ORG-0170,2023-07-01,Tech/SaaS,ETI,765,data_breach,moderate,44,1356,6.9,296111
inc-000208,ORG-0171,2024-08-22,Énergie,ETI,1837,insider_error,moderate,45,329,2.6,183890
inc-000209,ORG-0172,2025-05-28,Finance,ETI,711,data_breach,catastrophic,52,19892,2.8,3222558
inc-000210,ORG-0115,2024-01-06,Tech/SaaS,GE,5493,ransomware,catastrophic,51,2425,55.7,7433446
inc-000211,ORG-0173,2022-05-06,Retail,PME,17,credential_theft,major,38,1008,5.1,636543
inc-000212,ORG-0174,2022-08-22,Industrie,ETI,2400,data_breach,catastrophic,50,120468,29.3,16415099
inc-000213,ORG-0175,2025-05-12,Finance,PME,103,ransomware,minor,58,3,3.0,9142
inc-000214,ORG-0176,2025-01-21,Retail,PME,26,credential_theft,minor,49,33,15.7,13924
inc-000215,ORG-0088,2024-06-02,Énergie,PME,39,phishing,minor,38,17,2.3,21707
inc-000216,ORG-0177,2022-04-04,Énergie,PME,30,credential_theft,minor,69,29,15.7,12959
inc-000217,ORG-0178,2023-09-12,Finance,PME,11,data_breach,minor,50,69,4.1,19122
inc-000218,ORG-0179,2024-03-26,Industrie,PME,203,misconfiguration,moderate,47,48,14.6,61697
inc-000219,ORG-0180,2025-03-07,Tech/SaaS,PME,224,data_breach,minor,28,240,5.8,37098
inc-000220,ORG-0181,2024-09-05,Retail,PME,143,credential_theft,minor,35,110,8.0,39391
inc-000221,ORG-0182,2025-06-19,Public,PME,19,misconfiguration,minor,30,10,5.8,14889
inc-000222,ORG-0183,2023-07-22,Retail,PME,48,ransomware,minor,54,10,43.3,35701
inc-000223,ORG-0070,2025-05-27,Finance,GE,21805,data_breach,catastrophic,89,85713,15.2,8366052
inc-000224,ORG-0184,2022-05-19,Tech/SaaS,PME,20,misconfiguration,minor,39,11,,9625
inc-000225,ORG-0185,2022-05-25,Énergie,ETI,2447,phishing,moderate,76,72,2.4,83690
inc-000226,ORG-0186,2025-02-11,Santé,PME,190,insider_error,moderate,47,55,5.9,77085
inc-000227,ORG-0187,2024-08-02,Santé,PME,179,misconfiguration,minor,30,36,11.1,23771
inc-000228,ORG-0188,2025-02-18,Finance,PME,17,ransomware,minor,50,7,34.0,18765
inc-000229,ORG-0187,2022-03-23,Santé,PME,179,phishing,minor,30,11,6.0,19515
inc-000230,ORG-0189,2022-07-14,Industrie,ETI,721,ddos,moderate,39,0,10.9,64907
inc-000231,ORG-0074,2022-05-21,Tech/SaaS,PME,57,misconfiguration,minor,43,11,6.1,19127
inc-000232,ORG-0190,2022-05-18,Énergie,GE,60738,ransomware,severe,65,694,44.4,1374874
inc-000233,ORG-0191,2024-05-20,Finance,PME,174,phishing,minor,55,9,2.0,13669
inc-000234,ORG-0192,2024-07-05,Retail,ETI,428,credential_theft,moderate,35,,7.4,57930
inc-000235,ORG-0193,2025-06-30,Industrie,PME,87,ddos,minor,41,0,7.8,31484
inc-000236,ORG-0167,2025-03-27,Retail,GE,78884,insider_error,severe,44,2479,2.6,1555205
inc-000237,ORG-0194,2024-02-17,Santé,PME,20,phishing,minor,41,2,2.6,3859
inc-000238,ORG-0195,2025-09-27,Industrie,ETI,698,credential_theft,moderate,24,406,6.3,297163
inc-000239,ORG-0196,2023-12-12,Santé,PME,57,credential_theft,minor,51,24,17.3,13379
inc-000240,ORG-0197,2025-01-16,Tech/SaaS,PME,93,insider_error,minor,39,13,6.4,8437
inc-000241,ORG-0101,2023-09-10,Santé,PME,10,phishing,minor,33,22,2.3,35092
inc-000242,ORG-0198,2024-08-02,Santé,ETI,966,insider_error,minor,50,32,4.8,35010
inc-000243,ORG-0199,2022-09-11,Énergie,ETI,1783,phishing,minor,57,52,4.8,45697
inc-000244,ORG-0200,2024-04-09,Industrie,PME,59,credential_theft,minor,32,15,4.4,10704
inc-000245,ORG-0201,2025-11-04,Industrie,PME,141,insider_error,minor,29,21,6.5,20669
inc-000246,ORG-0174,2023-03-10,Industrie,ETI,2400,supply_chain,catastrophic,50,65094,30.7,16207002
inc-000247,ORG-0202,2025-09-15,Retail,PME,112,ransomware,minor,38,4,233.7,15903
inc-000248,ORG-0203,2022-08-08,Retail,ETI,555,insider_error,minor,35,10,0.7,16955
inc-000249,ORG-0204,2023-09-22,Finance,PME,25,misconfiguration,minor,59,9,6.6,14964
inc-000250,ORG-0205,2022-04-24,Finance,PME,11,supply_chain,major,42,2567,23.5,739591
inc-000251,ORG-0206,2024-03-12,Finance,ETI,400,phishing,minor,81,15,2.4,13903
inc-000252,ORG-0207,2024-05-29,Industrie,ETI,1207,ransomware,moderate,41,38,,83149
inc-000253,ORG-0208,2023-09-05,Finance,ETI,1329,ddos,moderate,60,0,6.3,70397
inc-000254,ORG-0094,2025-08-14,Retail,ETI,1767,misconfiguration,minor,42,21,3.1,39155
inc-000255,ORG-0183,2023-11-20,Retail,PME,48,ddos,minor,54,0,19.3,6498
inc-000256,ORG-0209,2022-05-22,Tech/SaaS,PME,101,credential_theft,minor,46,37,5.9,14993
inc-000257,ORG-0210,2024-06-13,Énergie,PME,73,misconfiguration,minor,46,27,2.7,32799
inc-000258,ORG-0211,2023-10-07,Finance,GE,31695,ransomware,catastrophic,70,1722,36.3,5833572
inc-000259,ORG-0035,2023-08-22,Industrie,ETI,1615,phishing,minor,40,9,4.5,13281
inc-000260,ORG-0212,2023-03-31,Finance,GE,7112,ransomware,catastrophic,81,11193,38.3,18893448
inc-000261,ORG-0213,2024-01-26,Énergie,GE,16440,data_breach,severe,58,7709,4.2,2218946
inc-000262,ORG-0214,2023-01-20,Retail,GE,19702,data_breach,catastrophic,70,18967,7.8,4702093
inc-000263,ORG-0215,2022-08-17,Finance,PME,37,misconfiguration,minor,31,31,1.7,46321
inc-000264,ORG-0216,2025-01-16,Industrie,GE,77310,phishing,minor,72,29,2.5,40513
inc-000265,ORG-0217,2024-05-17,Public,PME,31,ddos,minor,32,0,8.5,30495
inc-000266,ORG-0218,2022-12-04,Industrie,ETI,1121,ransomware,moderate,53,47,32.2,288959
inc-000267,ORG-0196,2022-11-11,Santé,PME,57,misconfiguration,minor,51,50,11.4,25445
inc-000268,ORG-0219,2023-07-23,Retail,PME,138,phishing,minor,21,12,2.1,22342
inc-000269,ORG-0220,2022-10-06,Industrie,PME,11,phishing,moderate,27,24,7.1,50685
inc-000270,ORG-0221,2023-01-16,Tech/SaaS,GE,44696,credential_theft,catastrophic,52,2892,3.4,3514682
inc-000271,ORG-0222,2025-02-09,Finance,PME,15,ransomware,minor,54,13,57.2,38395
inc-000272,ORG-0223,2024-06-11,Énergie,ETI,661,phishing,moderate,60,176,,179961
inc-000273,ORG-0224,2025-09-14,Tech/SaaS,ETI,785,ransomware,major,34,218,91.3,560762
inc-000274,ORG-0225,2023-04-15,Retail,GE,25236,misconfiguration,moderate,70,25,,62033
inc-000275,ORG-0226,2025-10-10,Énergie,ETI,1150,ddos,moderate,71,0,2.9,64439
inc-000276,ORG-0227,2024-06-04,Finance,ETI,2836,credential_theft,minor,43,34,3.3,26738
